NWATS=4;
PFIN('o1')=0;
PFOUT('o1')=0;
PRICE(k)=1;

Table CINMAX(i, c) Maximum Inlet Concentration of Contaminant c in Operation i (in ppm)
                              C1                  C2                  C3                  C4                  C5
          o1                  45                  52                  189                 33                  210
          o2                  20                  30                  70                  12234               98
          o3                  142                 420                 200                 13                  637
          o4                  20                  25                  15                  25                  454
          o5                  350                 2345                260                 21                  278


Table COUTMAX(i, c) Maximum Outlet Concentration of Contaminant c in Operation i (in ppm)
                              C1                  C2                  C3                  C4                  C5
          o1                  139                 400                 435                 37                  378
          o2                  245                 125                 85                  14728               124
          o3                  222                 459                 567                 56                  768
          o4                  47                  367                 320                 433                 589
          o5                  850                 3560                430                 56                  436


Table COFW(k, c) Concentration of Contaminant c on FreshWater k
                              C1                  C2                  C3                  C4                  C5
          w1                  4                   5                   0                   8                   0
          w2                  4                   6                   2                   7                   2
          w3                  0                   6                   4                   5                   2
          w4                  3                   2                   1                   0                   6


Parameters
FLIM(i) Limiting Flowrate Water in Operation i (in th-1)
          /   o1  16 ,   o2  64 ,   o3  10 ,   o4  68 ,   o5  20   /  ;

$ontext
Table Serial(t, i) All processing sequences
                     o1     o2     o3     o4     o5
          s1         1      2      3      4      5
          s2         1      2      3      5      4
          s3         1      2      4      3      5
          s4         1      2      4      5      3
          s5         1      2      5      3      4
          s6         1      2      5      4      3
          s7         1      3      2      4      5
          s8         1      3      2      5      4
          s9         1      3      4      2      5
          s10        1      3      4      5      2
          s11        1      3      5      2      4
          s12        1      3      5      4      2
          s13        1      4      2      3      5
          s14        1      4      2      5      3
          s15        1      4      3      2      5
          s16        1      4      3      5      2
          s17        1      4      5      2      3
          s18        1      4      5      3      2
          s19        1      5      2      3      4
          s20        1      5      2      4      3
          s21        1      5      3      2      4
          s22        1      5      3      4      2
          s23        1      5      4      2      3
          s24        1      5      4      3      2
          s25        2      1      3      4      5
          s26        2      1      3      5      4
          s27        2      1      4      3      5
          s28        2      1      4      5      3
          s29        2      1      5      3      4
          s30        2      1      5      4      3
          s31        2      3      1      4      5
          s32        2      3      1      5      4
          s33        2      3      4      1      5
          s34        2      3      4      5      1
          s35        2      3      5      1      4
          s36        2      3      5      4      1
          s37        2      4      1      3      5
          s38        2      4      1      5      3
          s39        2      4      3      1      5
          s40        2      4      3      5      1
          s41        2      4      5      1      3
          s42        2      4      5      3      1
          s43        2      5      1      3      4
          s44        2      5      1      4      3
          s45        2      5      3      1      4
          s46        2      5      3      4      1
          s47        2      5      4      1      3
          s48        2      5      4      3      1
          s49        3      1      2      4      5
          s50        3      1      2      5      4
          s51        3      1      4      2      5
          s52        3      1      4      5      2
          s53        3      1      5      2      4
          s54        3      1      5      4      2
          s55        3      2      1      4      5
          s56        3      2      1      5      4
          s57        3      2      4      1      5
          s58        3      2      4      5      1
          s59        3      2      5      1      4
          s60        3      2      5      4      1
          s61        3      4      1      2      5
          s62        3      4      1      5      2
          s63        3      4      2      1      5
          s64        3      4      2      5      1
          s65        3      4      5      1      2
          s66        3      4      5      2      1
          s67        3      5      1      2      4
          s68        3      5      1      4      2
          s69        3      5      2      1      4
          s70        3      5      2      4      1
          s71        3      5      4      1      2
          s72        3      5      4      2      1
          s73        4      1      2      3      5
          s74        4      1      2      5      3
          s75        4      1      3      2      5
          s76        4      1      3      5      2
          s77        4      1      5      2      3
          s78        4      1      5      3      2
          s79        4      2      1      3      5
          s80        4      2      1      5      3
          s81        4      2      3      1      5
          s82        4      2      3      5      1
          s83        4      2      5      1      3
          s84        4      2      5      3      1
          s85        4      3      1      2      5
          s86        4      3      1      5      2
          s87        4      3      2      1      5
          s88        4      3      2      5      1
          s89        4      3      5      1      2
          s90        4      3      5      2      1
          s91        4      5      1      2      3
          s92        4      5      1      3      2
          s93        4      5      2      1      3
          s94        4      5      2      3      1
          s95        4      5      3      1      2
          s96        4      5      3      2      1
          s97        5      1      2      3      4
          s98        5      1      2      4      3
          s99        5      1      3      2      4
          s100       5      1      3      4      2
          s101       5      1      4      2      3
          s102       5      1      4      3      2
          s103       5      2      1      3      4
          s104       5      2      1      4      3
          s105       5      2      3      1      4
          s106       5      2      3      4      1
          s107       5      2      4      1      3
          s108       5      2      4      3      1
          s109       5      3      1      2      4
          s110       5      3      1      4      2
          s111       5      3      2      1      4
          s112       5      3      2      4      1
          s113       5      3      4      1      2
          s114       5      3      4      2      1
          s115       5      4      1      2      3
          s116       5      4      1      3      2
          s117       5      4      2      1      3
          s118       5      4      2      3      1
          s119       5      4      3      1      2
          s120       5      4      3      2      1  ;
$offtext
