NWATS=3;
PFIN('o1')=0;
PFOUT('o1')=0;
PRICE(k)=1;

Table CINMAX(i, c) Maximum Inlet Concentration of Contaminant c in Operation i (in ppm)
			C1		C2		C3		C4
	o1		0		7		0		12
	o2		20		300		45		34
	o3		120		20		200		56
	o4		23		43		15		123
	o5		90		400		60		57


Table COUTMAX(i, c) Maximum Outlet Concentration of Contaminant c in Operation i (in ppm)
			C1		C2		C3		C4
	o1		15		400		35		40
	o2		120		1250		180		67
	o3		220		45		400		99
	o4		50		60		30		134
	o5		150		8000		120		234


Table COFW(k, c) Concentration of Contaminant c on FreshWater k
			C1		C2		C3		C4
	w1		5		0		0		2
	w2		0		2		3		2
	w3		0		4		0		3

Parameters
FLIM(i) Limiting Flowrate Water in Operation i (in th-1)
          /   o1  72 ,   o2  34 ,   o3  56 ,   o4  124 ,   o5  25   /  ;

$ontext
Table Serial(t, i) All processing sequences
                     o1     o2     o3     o4     o5
          s1         1      2      3      4      5
          s2         1      2      3      5      4
          s3         1      2      4      3      5
          s4         1      2      4      5      3
          s5         1      2      5      3      4
          s6         1      2      5      4      3
          s7         1      3      2      4      5
          s8         1      3      2      5      4
          s9         1      3      4      2      5
          s10        1      3      4      5      2
          s11        1      3      5      2      4
          s12        1      3      5      4      2
          s13        1      4      2      3      5
          s14        1      4      2      5      3
          s15        1      4      3      2      5
          s16        1      4      3      5      2
          s17        1      4      5      2      3
          s18        1      4      5      3      2
          s19        1      5      2      3      4
          s20        1      5      2      4      3
          s21        1      5      3      2      4
          s22        1      5      3      4      2
          s23        1      5      4      2      3
          s24        1      5      4      3      2
          s25        2      1      3      4      5
          s26        2      1      3      5      4
          s27        2      1      4      3      5
          s28        2      1      4      5      3
          s29        2      1      5      3      4
          s30        2      1      5      4      3
          s31        2      3      1      4      5
          s32        2      3      1      5      4
          s33        2      3      4      1      5
          s34        2      3      4      5      1
          s35        2      3      5      1      4
          s36        2      3      5      4      1
          s37        2      4      1      3      5
          s38        2      4      1      5      3
          s39        2      4      3      1      5
          s40        2      4      3      5      1
          s41        2      4      5      1      3
          s42        2      4      5      3      1
          s43        2      5      1      3      4
          s44        2      5      1      4      3
          s45        2      5      3      1      4
          s46        2      5      3      4      1
          s47        2      5      4      1      3
          s48        2      5      4      3      1
          s49        3      1      2      4      5
          s50        3      1      2      5      4
          s51        3      1      4      2      5
          s52        3      1      4      5      2
          s53        3      1      5      2      4
          s54        3      1      5      4      2
          s55        3      2      1      4      5
          s56        3      2      1      5      4
          s57        3      2      4      1      5
          s58        3      2      4      5      1
          s59        3      2      5      1      4
          s60        3      2      5      4      1
          s61        3      4      1      2      5
          s62        3      4      1      5      2
          s63        3      4      2      1      5
          s64        3      4      2      5      1
          s65        3      4      5      1      2
          s66        3      4      5      2      1
          s67        3      5      1      2      4
          s68        3      5      1      4      2
          s69        3      5      2      1      4
          s70        3      5      2      4      1
          s71        3      5      4      1      2
          s72        3      5      4      2      1
          s73        4      1      2      3      5
          s74        4      1      2      5      3
          s75        4      1      3      2      5
          s76        4      1      3      5      2
          s77        4      1      5      2      3
          s78        4      1      5      3      2
          s79        4      2      1      3      5
          s80        4      2      1      5      3
          s81        4      2      3      1      5
          s82        4      2      3      5      1
          s83        4      2      5      1      3
          s84        4      2      5      3      1
          s85        4      3      1      2      5
          s86        4      3      1      5      2
          s87        4      3      2      1      5
          s88        4      3      2      5      1
          s89        4      3      5      1      2
          s90        4      3      5      2      1
          s91        4      5      1      2      3
          s92        4      5      1      3      2
          s93        4      5      2      1      3
          s94        4      5      2      3      1
          s95        4      5      3      1      2
          s96        4      5      3      2      1
          s97        5      1      2      3      4
          s98        5      1      2      4      3
          s99        5      1      3      2      4
          s100       5      1      3      4      2
          s101       5      1      4      2      3
          s102       5      1      4      3      2
          s103       5      2      1      3      4
          s104       5      2      1      4      3
          s105       5      2      3      1      4
          s106       5      2      3      4      1
          s107       5      2      4      1      3
          s108       5      2      4      3      1
          s109       5      3      1      2      4
          s110       5      3      1      4      2
          s111       5      3      2      1      4
          s112       5      3      2      4      1
          s113       5      3      4      1      2
          s114       5      3      4      2      1
          s115       5      4      1      2      3
          s116       5      4      1      3      2
          s117       5      4      2      1      3
          s118       5      4      2      3      1
          s119       5      4      3      1      2
          s120       5      4      3      2      1  ;
$offtext
