NWATS=2;
PFIN('o1')=0;
PFOUT('o1')=0;
PRICE(k)=1;

Table CINMAX(i, c) Maximum Inlet Concentration of Contaminant c in Operation i (in ppm)
			C1		C2		C3		C4		C5		C6
	o1		45		52		189		33		210		24
	o2		120		30		30		12234		98		656
	o3		142		420		200		13		637		24
	o4		20		25		15		25		454		256
	o5		350		48		260		21		278		12
	o6		20		50		100		30		70		20


Table COUTMAX(i, c) Maximum Outlet Concentration of Contaminant c in Operation i (in ppm)
			C1		C2		C3		C4		C5		C6
	o1		139		400		435		37		378		124
	o2		245		125		85		14728		124		754
	o3		222		459		567		56		768		58
	o4		47		367		320		433		589		467
	o5		850		3560		400		56		436		90
	o6		100		150		250		90		150		80


Table COFW(k, c) Concentration of Contaminant c on FreshWater k
			C1		C2		C3		C4		C5		C6
	w1		4		5		0		8		0		4
	w2		4		6		2		7		2		0


Parameters
FLIM(i) Limiting Flowrate Water in Operation i (in th-1)
          /   o1  64 ,   o2  34 ,   o3  126 ,   o4  28 ,   o5  100 ,   o6  55   /  ;

$ontext
Table Serial(t, i) All processing sequences
                     o1     o2     o3     o4     o5     o6
          s1         1      2      3      4      5      6
          s2         1      2      3      4      6      5
          s3         1      2      3      5      4      6
          s4         1      2      3      5      6      4
          s5         1      2      3      6      4      5
          s6         1      2      3      6      5      4
          s7         1      2      4      3      5      6
          s8         1      2      4      3      6      5
          s9         1      2      4      5      3      6
          s10        1      2      4      5      6      3
          s11        1      2      4      6      3      5
          s12        1      2      4      6      5      3
          s13        1      2      5      3      4      6
          s14        1      2      5      3      6      4
          s15        1      2      5      4      3      6
          s16        1      2      5      4      6      3
          s17        1      2      5      6      3      4
          s18        1      2      5      6      4      3
          s19        1      2      6      3      4      5
          s20        1      2      6      3      5      4
          s21        1      2      6      4      3      5
          s22        1      2      6      4      5      3
          s23        1      2      6      5      3      4
          s24        1      2      6      5      4      3
          s25        1      3      2      4      5      6
          s26        1      3      2      4      6      5
          s27        1      3      2      5      4      6
          s28        1      3      2      5      6      4
          s29        1      3      2      6      4      5
          s30        1      3      2      6      5      4
          s31        1      3      4      2      5      6
          s32        1      3      4      2      6      5
          s33        1      3      4      5      2      6
          s34        1      3      4      5      6      2
          s35        1      3      4      6      2      5
          s36        1      3      4      6      5      2
          s37        1      3      5      2      4      6
          s38        1      3      5      2      6      4
          s39        1      3      5      4      2      6
          s40        1      3      5      4      6      2
          s41        1      3      5      6      2      4
          s42        1      3      5      6      4      2
          s43        1      3      6      2      4      5
          s44        1      3      6      2      5      4
          s45        1      3      6      4      2      5
          s46        1      3      6      4      5      2
          s47        1      3      6      5      2      4
          s48        1      3      6      5      4      2
          s49        1      4      2      3      5      6
          s50        1      4      2      3      6      5
          s51        1      4      2      5      3      6
          s52        1      4      2      5      6      3
          s53        1      4      2      6      3      5
          s54        1      4      2      6      5      3
          s55        1      4      3      2      5      6
          s56        1      4      3      2      6      5
          s57        1      4      3      5      2      6
          s58        1      4      3      5      6      2
          s59        1      4      3      6      2      5
          s60        1      4      3      6      5      2
          s61        1      4      5      2      3      6
          s62        1      4      5      2      6      3
          s63        1      4      5      3      2      6
          s64        1      4      5      3      6      2
          s65        1      4      5      6      2      3
          s66        1      4      5      6      3      2
          s67        1      4      6      2      3      5
          s68        1      4      6      2      5      3
          s69        1      4      6      3      2      5
          s70        1      4      6      3      5      2
          s71        1      4      6      5      2      3
          s72        1      4      6      5      3      2
          s73        1      5      2      3      4      6
          s74        1      5      2      3      6      4
          s75        1      5      2      4      3      6
          s76        1      5      2      4      6      3
          s77        1      5      2      6      3      4
          s78        1      5      2      6      4      3
          s79        1      5      3      2      4      6
          s80        1      5      3      2      6      4
          s81        1      5      3      4      2      6
          s82        1      5      3      4      6      2
          s83        1      5      3      6      2      4
          s84        1      5      3      6      4      2
          s85        1      5      4      2      3      6
          s86        1      5      4      2      6      3
          s87        1      5      4      3      2      6
          s88        1      5      4      3      6      2
          s89        1      5      4      6      2      3
          s90        1      5      4      6      3      2
          s91        1      5      6      2      3      4
          s92        1      5      6      2      4      3
          s93        1      5      6      3      2      4
          s94        1      5      6      3      4      2
          s95        1      5      6      4      2      3
          s96        1      5      6      4      3      2
          s97        1      6      2      3      4      5
          s98        1      6      2      3      5      4
          s99        1      6      2      4      3      5
          s100       1      6      2      4      5      3
          s101       1      6      2      5      3      4
          s102       1      6      2      5      4      3
          s103       1      6      3      2      4      5
          s104       1      6      3      2      5      4
          s105       1      6      3      4      2      5
          s106       1      6      3      4      5      2
          s107       1      6      3      5      2      4
          s108       1      6      3      5      4      2
          s109       1      6      4      2      3      5
          s110       1      6      4      2      5      3
          s111       1      6      4      3      2      5
          s112       1      6      4      3      5      2
          s113       1      6      4      5      2      3
          s114       1      6      4      5      3      2
          s115       1      6      5      2      3      4
          s116       1      6      5      2      4      3
          s117       1      6      5      3      2      4
          s118       1      6      5      3      4      2
          s119       1      6      5      4      2      3
          s120       1      6      5      4      3      2
          s121       2      1      3      4      5      6
          s122       2      1      3      4      6      5
          s123       2      1      3      5      4      6
          s124       2      1      3      5      6      4
          s125       2      1      3      6      4      5
          s126       2      1      3      6      5      4
          s127       2      1      4      3      5      6
          s128       2      1      4      3      6      5
          s129       2      1      4      5      3      6
          s130       2      1      4      5      6      3
          s131       2      1      4      6      3      5
          s132       2      1      4      6      5      3
          s133       2      1      5      3      4      6
          s134       2      1      5      3      6      4
          s135       2      1      5      4      3      6
          s136       2      1      5      4      6      3
          s137       2      1      5      6      3      4
          s138       2      1      5      6      4      3
          s139       2      1      6      3      4      5
          s140       2      1      6      3      5      4
          s141       2      1      6      4      3      5
          s142       2      1      6      4      5      3
          s143       2      1      6      5      3      4
          s144       2      1      6      5      4      3
          s145       2      3      1      4      5      6
          s146       2      3      1      4      6      5
          s147       2      3      1      5      4      6
          s148       2      3      1      5      6      4
          s149       2      3      1      6      4      5
          s150       2      3      1      6      5      4
          s151       2      3      4      1      5      6
          s152       2      3      4      1      6      5
          s153       2      3      4      5      1      6
          s154       2      3      4      5      6      1
          s155       2      3      4      6      1      5
          s156       2      3      4      6      5      1
          s157       2      3      5      1      4      6
          s158       2      3      5      1      6      4
          s159       2      3      5      4      1      6
          s160       2      3      5      4      6      1
          s161       2      3      5      6      1      4
          s162       2      3      5      6      4      1
          s163       2      3      6      1      4      5
          s164       2      3      6      1      5      4
          s165       2      3      6      4      1      5
          s166       2      3      6      4      5      1
          s167       2      3      6      5      1      4
          s168       2      3      6      5      4      1
          s169       2      4      1      3      5      6
          s170       2      4      1      3      6      5
          s171       2      4      1      5      3      6
          s172       2      4      1      5      6      3
          s173       2      4      1      6      3      5
          s174       2      4      1      6      5      3
          s175       2      4      3      1      5      6
          s176       2      4      3      1      6      5
          s177       2      4      3      5      1      6
          s178       2      4      3      5      6      1
          s179       2      4      3      6      1      5
          s180       2      4      3      6      5      1
          s181       2      4      5      1      3      6
          s182       2      4      5      1      6      3
          s183       2      4      5      3      1      6
          s184       2      4      5      3      6      1
